,Occupation,Critical Problem Solving and Repetitive Work,Negotition and Leadership Capacity,Hazardous Environment,Empathy and Social Percetiveness,Artistic Ability,Coordination Capacity,Finger Dexterity
32,Farm and Ranch Managers,0.401796047,0.822227052,-1.020334367,-0.723021764,-0.374651003,-0.264596823,-1.201341744
33,Aquacultural Managers,0.474637627,1.701531898,-0.56967071,-0.427271476,-0.042656219,-0.378543685,0.530968909
34,Construction Managers,0.120832604,2.03410629,-0.066125496,-0.632242172,-0.898455934,0.612790711,-1.118968054
35,"Education Administrators, Preschool and Childcare Center/Program",-0.134590378,1.743445592,0.579681893,0.817499689,0.281392824,0.417614345,-0.437206054
36,"Education Administrators, Elementary and Secondary School",0.465184425,2.206692924,0.38498261,1.029412065,0.472000776,0.523537114,-1.136109414
37,"Education Administrators, Postsecondary",0.37011881,1.554383331,0.795214838,0.378569327,0.682552016,0.626650892,-0.926350794
39,Distance Learning Coordinators,-4.04E-05,1.661215792,0.955426016,-0.615070269,0.53971695,0.682074645,0.237205856
40,Fitness and Wellness Coordinators,-0.347156709,1.459401471,0.555966352,0.878349886,0.35223388,-0.073005531,-0.179601962
41,Architectural and Engineering Managers,0.844354221,1.265371838,0.230147207,-0.357207869,-0.016157854,0.670220542,0.059356627
42,Biofuels/Biodiesel Technology and Product Development Managers,1.157021521,0.479840893,-0.370894117,-1.116332351,0.237899251,0.93224532,0.428248397
43,Food Service Managers,-0.629689622,0.402049715,0.382136087,0.89928696,-0.763062035,1.27732312,0.629225977
44,Funeral Service Managers,-0.699061223,0.189508623,0.242080704,1.38591523,-0.202932482,0.195630618,-1.36377002
45,Gaming Managers,-0.286593534,1.937297977,0.368261782,0.340311401,-0.833338435,0.978727137,-0.042962086
46,Lodging Managers,0.066075326,1.989840347,0.45669132,0.627391923,0.018017532,1.086568491,0.350641492
47,Medical and Health Services Managers,0.451241667,1.831001802,0.780186239,-0.183750209,-0.526943094,0.540423389,-0.323632799
48,Natural Sciences Managers,1.015000442,0.424799138,0.227159149,-0.651726507,-0.198040554,0.919409411,-1.170349675
49,Clinical Research Coordinators,0.181583403,1.384423993,1.080622967,-0.75588973,-0.348799877,0.931383616,-0.033863473
50,Water Resource Specialists,1.272774056,0.544185486,0.620496313,-1.423398602,-0.437544571,-0.133659889,-0.699379388
51,Postmasters and Mail Superintendents,-0.40713,1.999801203,0.413316207,0.381762233,-0.983471061,1.207514343,-1.04437461
52,"Property, Real Estate, and Community Association Managers",-0.740349571,2.219218018,0.750273389,-0.208032078,-0.494710871,0.133626185,-0.969353263
53,Social and Community Service Managers,0.254061501,1.042216949,0.44137596,1.213879359,0.596159685,0.998703872,-0.673335638
54,Emergency Management Directors,0.507456155,2.447668323,-0.079909998,0.142182461,0.126495416,0.56599515,-1.100052162
56,Regulatory Affairs Managers,0.085427741,1.679048021,1.196788191,-1.053005671,-0.450048437,0.577466699,-0.996878527
57,Compliance Managers,-0.026992061,1.767594297,0.517386661,-0.190935739,-0.6722134,0.641492029,-0.008201119
58,Investment Fund Managers,1.157789676,0.191048656,1.249576006,-1.290473532,-0.250338847,0.087808579,-0.532227949
59,Supply Chain Managers,0.229183614,2.266596733,0.65629627,-0.808381982,-0.316101051,0.970369795,-0.94508716
60,Security Managers,0.261980201,1.956928032,-0.292046487,0.073612824,-0.337860444,0.1838648,-0.459357717
61,Loss Prevention Managers,0.168810486,2.741712787,0.208974901,0.017190863,-0.395774016,0.276063459,0.557030501
62,Wind Energy Operations Managers,0.283987301,1.637747621,-0.449722214,-0.571616838,-0.676851617,0.584138556,-1.205898839
63,Wind Energy Project Managers,0.088834653,1.539967326,0.770682397,-0.887864216,-0.509162244,0.252383595,-1.025407002
64,Brownfield Redevelopment Specialists and Site Managers,0.905589171,1.487602835,0.207714237,-1.089249783,-0.438245283,0.077298593,-1.032113475
65,"Agents and Business Managers of Artists, Performers, and Athletes",-0.711767341,2.340553778,1.119741372,0.334553624,0.877389044,-0.627822003,0.231578014
66,"Buyers and Purchasing Agents, Farm Products",-0.126544557,1.260133831,0.668931498,-0.757451474,-0.310817946,0.352698576,-0.281551537
67,"Wholesale and Retail Buyers, Except Farm Products",-0.382148819,1.175454779,1.113193208,-0.578159952,-0.863127795,0.022428887,0.000929561
68,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",0.143159781,1.624968583,0.785069675,-0.421676995,-0.751048478,-0.439153852,-0.27558327
70,"Claims Examiners, Property and Casualty Insurance",0.109269716,1.064304863,1.141082205,-0.084037271,-1.075756082,-0.055034806,0.787295514
71,"Insurance Adjusters, Examiners, and Investigators",0.255248753,0.610224998,1.169385983,0.248306829,-1.828957863,-1.525120213,0.649681322
72,"Insurance Appraisers, Auto Damage",-0.664087401,1.294321208,0.183568749,-0.268386227,-1.579686314,-1.42921344,-0.252790358
74,Environmental Compliance Inspectors,1.041669386,0.31640354,-0.304083522,-0.353405062,-1.204340687,-1.201784926,-0.506654578
75,Licensing Examiners and Inspectors,0.094144609,0.216679878,-0.14271106,0.696449378,-0.917167631,-0.130991144,-0.427874644
76,Equal Opportunity Representatives and Officers,0.686380724,0.742581078,1.261713,1.030635762,-1.181637011,-1.850042348,-0.549058421
77,Government Property Inspectors and Investigators,0.64367746,0.89163467,0.08064122,0.194274105,-1.124635109,-0.14378585,0.419260786
78,Coroners,0.799475814,0.501974502,-1.097035894,1.45192181,-0.473537462,0.181052826,0.119002866
79,Regulatory Affairs Specialists,0.52973269,0.572002509,1.327025574,-1.192314871,-0.912944205,0.464558255,-0.125099587
80,Cost Estimators,0.52511513,0.652602399,1.015852755,-1.450418753,-0.537980264,0.403809273,-0.941698626
81,Human Resources Specialists,-0.557986782,0.616323126,1.539324058,0.520747993,-0.605834656,0.687000031,-0.020255967
82,Farm Labor Contractors,-1.19993802,-0.449950964,-0.19246392,0.145126626,-1.265981211,0.147338739,-2.305502774
83,Labor Relations Specialists,0.021392623,2.441263441,0.957160403,0.175510398,-0.162737069,-0.545407578,-1.22632678
84,Logisticians,0.383729006,1.395649727,0.630815895,-0.477125528,-0.452650595,0.80917162,-0.981827959
85,Logistics Engineers,1.528965784,0.569320054,0.472749329,-1.266193638,-0.138208515,0.297747663,0.670386343
86,Logistics Analysts,0.746473025,0.367248597,0.849154498,-1.454875578,-0.301291792,0.483623376,-0.596548078
87,Management Analysts,1.160673248,1.224482491,0.65803843,0.16806152,0.010727654,0.73521698,-0.707974178
88,"Meeting, Convention, and Event Planners",-0.396146969,1.949501732,0.581515691,0.522401326,0.53597788,1.032629769,0.637366141
89,Fundraisers,-0.558399157,1.83408131,1.126482866,0.050590176,0.836561947,0.020840432,-0.35105345
90,"Compensation, Benefits, and Job Analysis Specialists",0.311978193,0.397782734,1.326714139,-0.437985638,-0.277290431,-0.08218725,-0.242215809
91,Training and Development Specialists,-0.021714801,0.937321747,0.945913522,0.644223898,1.42173593,0.64205963,-0.526162043
92,Market Research Analysts and Marketing Specialists,1.461686713,0.27384048,0.901738963,-0.979574632,0.308036456,-0.418451778,-0.739535766
94,Energy Auditors,0.769579918,0.334037549,-0.352911501,-0.679297855,-0.71408996,-0.983573333,-0.352225519
95,Security Management Specialists,0.424057526,1.144739354,0.33726357,-0.690597724,-0.15868833,0.300484503,-0.891134604
96,Customs Brokers,-0.065104236,0.60253224,1.416123632,-1.063148721,-0.90749847,-0.055553707,-1.121057832
97,Business Continuity Planners,0.646965068,0.985332488,0.91017552,-0.980544417,0.259619508,0.947837739,-1.114639621
98,Sustainability Specialists,0.415800366,0.248720607,0.882276971,-0.763989456,0.831390677,1.303984729,-1.096306825
99,Online Merchants,-0.567591572,0.788997479,1.319979913,-0.940857911,-0.257647875,-0.406774111,-0.433695512
101,Accountants,0.515456603,0.329670862,1.624500788,-1.494612913,-1.043679919,-0.644313458,-0.038650223
102,Auditors,0.433437557,1.092033114,1.199918222,-1.211297785,-0.610652985,1.409037315,-0.631832513
104,Assessors,0.404326261,0.658270041,0.618072745,-0.480307646,-1.451792864,-1.115920964,0.157229413
105,"Appraisers, Real Estate",0.774520531,-0.179459791,0.812151952,-1.168707519,-1.189642528,-3.256495585,-1.033010427
106,Budget Analysts,0.841330843,-1.034867001,1.449884621,-0.619405738,-0.920409502,1.192739892,-1.13775219
107,Credit Analysts,0.480418979,0.128480001,1.445902767,-0.814941307,-1.6223661,-1.391379601,0.493258768
108,Financial Analysts,1.524557017,-1.406285494,1.44242875,-1.168960224,0.110022524,-0.554558712,-0.869058567
109,Personal Financial Advisors,0.875093749,0.987905521,0.972870913,0.266819191,-0.276623689,-1.092948417,-0.376463482
110,Insurance Underwriters,0.225683464,0.704013635,1.519269935,-1.089840449,-1.181208659,-1.339398749,0.374462154
111,Financial Examiners,0.872681154,0.91321631,1.45003171,-1.127889049,-1.137216806,0.41311651,-0.108832737
112,Credit Counselors,0.249045828,0.029808106,1.696606331,0.89045334,-1.129200249,-1.106847894,-0.343347134
113,Loan Counselors,0.036379419,-0.615368328,1.520129029,0.516000184,-1.428218777,0.094139062,-0.824054317
114,Loan Officers,0.100949777,0.747545929,1.180301529,-0.041355249,-1.126146553,-0.352792145,0.037093634
115,"Tax Examiners and Collectors, and Revenue Agents",0.164472044,0.016086778,1.090484566,0.510046468,-1.026804864,-0.325690229,0.991994862
116,Tax Preparers,0.011087815,-0.122446263,1.709670299,-0.372262679,-1.160259414,-2.035046356,0.287301856
118,Financial Quantitative Analysts,1.646018837,0.002466253,1.005437635,-1.8856865,0.175036114,-1.052811338,-0.170367539
119,Risk Management Specialists,0.533672153,0.602833683,0.803739086,-0.723754579,-0.281637153,0.769593563,-0.857295731
121,"Fraud Examiners, Investigators and Analysts",0.753057703,1.017074332,0.852156387,-0.412576939,-0.450364927,-0.128663691,-1.165852223
122,Computer and Information Research Scientists,0.892837817,-0.524010458,0.607899963,-0.352639158,1.209443732,0.875340883,1.121333938
123,Computer Systems Analysts,1.114040429,-1.278403021,1.113382927,-0.78174302,0.095204082,1.390444343,0.72962695
124,Informatics Nurse Specialists,0.834342804,0.965818146,0.703260322,-0.24859395,0.297552155,1.218667816,1.304605926
125,Information Security Analysts,0.997838477,-0.789831288,0.814449999,-0.55529302,-0.154720713,0.599559644,-0.001098877
126,Computer Programmers,1.255975322,-1.254370509,1.086008888,-0.689568775,0.822178848,0.802373847,0.816073193
127,"Software Developers, Applications",0.987230529,-0.495067129,1.179601157,-2.089647949,0.415893239,0.861538464,0.491835099
128,"Software Developers, Systems Software",1.191408438,-1.820384558,1.167127644,-0.915776493,0.568924505,0.917307429,-0.176742492
129,Web Developers,0.525849997,-0.002905206,1.148691762,-1.589781807,1.101143227,-0.679295221,0.847597327
130,Database Administrators,1.061303078,-1.558240183,0.805842684,-0.122935498,0.361821558,1.197554806,-0.100527828
131,Network and Computer Systems Administrators,1.36975377,-1.081224503,0.693788467,-0.469014837,-0.241651209,-0.220554984,0.930638436
132,Computer Network Architects,1.376288642,0.291738733,0.646873081,-1.383081224,-0.134398714,-0.388642969,-0.009205966
133,Telecommunications Engineering Specialists,0.300945024,1.058674196,0.250949691,-0.916486332,0.099974834,0.592587635,0.825306742
134,Computer User Support Specialists,1.196385315,-1.287315711,0.748450627,0.271838417,-0.440670425,-0.051282447,1.160609773
135,Computer Network Support Specialists,0.336775996,-0.724555422,0.741842068,-0.354551984,-0.289605304,1.002228325,1.185380693
137,Software Quality Assurance Engineers and Testers,0.823480005,-0.680796577,1.135695557,-1.210668961,0.141564557,0.839779042,0.562207441
138,Computer Systems Engineers/Architects,1.109418693,0.618367754,0.843365332,-1.490132195,0.873885828,0.992799741,0.439766486
139,Web Administrators,1.026715771,-0.096153196,0.990955812,-1.683626153,0.553525527,0.621683632,0.687817902
140,Geospatial Information Scientists and Technologists,1.211427827,-0.65081151,0.978654723,-1.343828475,0.294231407,0.468195824,0.591743268
141,Geographic Information Systems Technicians,1.031425815,-1.260859788,0.809938562,-1.294393947,0.545158381,0.563328958,0.624443905
142,Database Architects,0.869462761,-0.167961245,0.926646124,-1.598696468,0.351144671,0.55602011,-0.456090786
143,Data Warehousing Specialists,0.987962834,-0.737124273,1.386838097,-1.780582821,0.107810667,0.467962372,-1.3222741
144,Business Intelligence Analysts,0.944354129,0.3220403,1.165867824,-1.198631707,0.525515405,0.6344026,-0.57243323
145,Information Technology Project Managers,0.072130567,1.742630755,0.834663997,-0.917105048,-0.104915194,1.055170706,-0.694009463
146,Search Marketing Strategists,0.683731116,0.579606384,1.235380699,-1.810783721,0.611683783,-0.078313279,0.104591259
147,Video Game Designers,0.049499839,0.517806761,0.883717523,-0.699158466,2.908332846,0.918513197,1.388607515
148,Document Management Specialists,0.222009091,0.359075855,0.968981715,-0.885540228,0.076815804,0.495255164,0.710562125
149,Actuaries,1.811762781,0.014922344,1.239608585,-2.075881837,-0.58861867,-0.229308104,-1.001615201
150,Mathematicians,1.98283149,-1.059108859,1.232926325,-1.984221874,0.68463579,-0.834270961,-0.519284041
151,Operations Research Analysts,2.112330906,-0.550741053,1.383330972,-2.09400933,0.349772532,0.350867473,-0.401732824
152,Statisticians,1.663646142,-0.676941465,1.281463472,-1.824996739,-0.214463472,-0.511494434,0.114341232
153,Biostatisticians,1.824274062,-0.649464952,1.161421016,-1.205019386,-0.172253656,0.792882133,0.625798546
154,Clinical Data Managers,0.609009538,-0.168256165,1.34765967,-0.932159401,-0.671741187,1.209323494,-0.444958514
157,"Architects, Except Landscape and Naval",0.534456261,1.380009353,0.172697795,-0.77148081,2.269324626,0.371540155,0.729306797
158,Landscape Architects,0.017529772,1.409298127,0.453133954,-0.737279231,2.344314275,0.032687765,0.314339203
159,Cartographers and Photogrammetrists,0.206649574,-0.207571038,0.897121261,-1.43027289,0.32413932,0.723414979,0.813469263
160,Surveyors,0.807767308,0.583425196,-0.75296024,-0.808108718,-0.292539249,0.269429894,0.370686792
161,Geodetic Surveyors,1.346151712,0.090929888,0.054851251,-1.327339628,-0.445696207,-0.10016711,0.378259194
162,Aerospace Engineers,1.641983972,-0.349869839,0.589172617,-1.643803768,0.37655009,0.432067215,-0.854202394
163,Agricultural Engineers,1.749733123,0.218743841,-0.052170226,-0.838708606,0.06178738,-0.204239414,-0.504142003
164,Biomedical Engineers,2.050498086,0.037002311,0.189357142,-0.967597125,0.47278716,0.207176125,0.37870533
165,Chemical Engineers,1.987599094,0.065116199,0.030850797,-1.876822307,-0.048094397,0.315557692,-1.279455107
166,Civil Engineers,1.096977081,0.971685724,0.119922039,-0.924255026,-0.040626276,-0.316434351,-0.59432129
167,Transportation Engineers,1.27166755,0.720516961,0.266187754,-1.031922659,-0.422598725,0.756658872,-0.01417723
168,Computer Hardware Engineers,1.53297093,-0.84920279,0.914470226,-1.857188442,0.277240507,-0.358091468,0.464041566
169,Electrical Engineers,1.342009252,-0.479213305,0.437898488,-0.857811919,-0.244795791,0.296505603,-0.012915852
170,"Electronics Engineers, Except Computer",1.840103313,-1.482791284,0.341429339,-0.300878286,0.643869483,0.620082432,1.092405382
171,Radio Frequency Identification Device Specialists,0.675431674,0.20458555,0.515934724,-0.846369385,0.505413214,0.849463628,0.337964637
172,Environmental Engineers,1.445914504,1.021616868,0.121612006,-0.917040439,-0.192002497,0.415801409,-0.994857474
173,Water/Wastewater Engineers,1.38549131,0.877587494,0.256442389,-1.189828713,-0.052651549,0.788966718,-0.626331623
175,Industrial Safety and Health Engineers,1.159582745,0.941079879,-0.846371602,0.463944788,-0.45456531,-0.151086116,-1.233111889
176,Fire-Prevention and Protection Engineers,1.231377741,0.338970757,0.340625941,-0.888248552,-0.458210812,-0.417098557,-0.809171062
177,Product Safety Engineers,1.014099425,0.263977416,0.093230383,-0.592949671,-0.490897836,0.112317136,-1.718169298
178,Industrial Engineers,1.187063498,0.024224058,-0.239251937,-0.409872603,-0.177652387,1.019734936,-0.758924564
179,Human Factors Engineers and Ergonomists,1.747590849,-0.426136907,0.153503089,0.154249511,0.555763535,-0.532340628,-1.056212794
181,Marine Engineers,1.344881922,0.472043011,-0.543967655,-1.303716195,-0.133061679,-0.188043234,-0.311661737
182,Marine Architects,1.539962766,-0.702071658,-0.273800302,-1.425110573,0.866034677,0.710974608,-1.215316053
183,Materials Engineers,1.671734518,-0.405689949,-0.200931748,-1.395261966,0.449820049,0.047214329,-0.258582261
184,Mechanical Engineers,1.530665822,-0.696887651,0.220688316,-0.995491977,0.10762484,0.922046958,-0.29166351
185,Fuel Cell Engineers,1.417005409,-0.385343021,0.012680386,-1.553593248,0.430855377,0.008243124,-0.002405497
186,Automotive Engineers,1.542457837,0.812603979,0.118436836,-1.217470244,0.125902182,0.781685312,0.423927377
187,"Mining and Geological Engineers, Including Mining Safety Engineers",1.548442612,0.663236849,-0.179342998,-1.16485061,-0.62938207,0.583120605,-1.361256158
188,Nuclear Engineers,1.708152181,-0.381934895,0.291887653,-1.408172067,-0.831877779,-0.03281002,-1.288462507
189,Petroleum Engineers,1.358727638,0.242606198,0.367688689,-1.016494342,-0.266879479,0.698767857,-0.64803881
191,Biochemical Engineers,1.460092461,0.503279817,-0.198438549,-1.151543203,0.353821136,0.248358045,0.4797668
192,Validation Engineers,1.076046188,0.043071375,0.585062796,-0.851885585,-1.085902552,0.207949913,-0.875763366
193,Energy Engineers,1.395711691,0.256014956,0.209059359,-0.793551858,0.341198381,0.402816073,-1.096255546
194,Manufacturing Engineers,1.34322846,0.602459434,-0.387017538,-1.033642384,0.043052302,0.011107143,0.029070298
195,Mechatronics Engineers,0.93021423,-0.443010699,0.479313436,-1.578481131,0.703645251,0.595853057,-1.25982847
196,Microsystems Engineers,1.735662923,-0.626997496,0.388902853,-1.386337734,0.285776448,0.580074182,0.523131213
197,Photonics Engineers,1.595513037,-0.692430149,0.429294863,-2.089099277,0.698188625,0.021357997,0.523150871
198,Robotics Engineers,1.776544622,0.566427262,-0.558554028,-1.265409798,0.648578777,-0.041391123,1.451511442
199,Nanosystems Engineers,1.635939808,0.092949319,-0.162603782,-1.555992744,0.652465739,-0.057708018,0.180549923
200,Wind Energy Engineers,0.962056943,-0.200196394,0.6873251,-1.048684552,-0.100531174,0.337172016,-0.863208043
201,Solar Energy Systems Engineers,0.870787588,0.172976333,0.419369276,-1.395653878,-0.103705026,-0.369172061,-0.272365991
203,Architectural Drafters,-0.060722076,-0.950306066,0.534404442,-0.669311223,1.831389028,0.6011694,0.615608295
204,Civil Drafters,0.144431122,-1.021545304,1.231142253,-1.609896214,0.470019382,0.940630159,0.197997627
206,Electronic Drafters,0.212530827,-1.616033157,1.341331788,-0.787455998,0.109739285,0.660869851,0.686563026
207,Electrical Drafters,-0.023868262,-1.393769123,1.394814967,-0.76934028,-0.175490301,1.012858572,0.44488897
208,Mechanical Drafters,0.122344795,-1.161868932,0.593792203,-1.205274754,1.21408463,0.5474423,0.07318795
210,Aerospace Engineering and Operations Technicians,0.714756354,-0.130439905,-0.012790503,-0.625834156,-0.249707849,1.653606193,0.828615199
211,Civil Engineering Technicians,0.431992102,-0.597308714,0.282113984,-0.460629792,-0.274671033,1.100830167,-0.058157987
213,Electronics Engineering Technicians,0.754128169,-0.858421633,0.07688364,-1.074511378,-0.297067797,0.037662287,0.976015076
214,Electrical Engineering Technicians,0.912843748,-0.791424905,-0.400356979,-0.504720589,0.209220421,0.673282806,1.202060383
215,Electro-Mechanical Technicians,0.873003629,-1.410461429,-0.689890169,-0.270935701,-0.085407306,0.397304459,1.501385172
216,Robotics Technicians,1.584082276,-0.586069514,-0.968714077,-0.940966569,-0.006378161,-0.676630551,1.427212115
217,Environmental Engineering Technicians,0.698905025,-0.278679589,-0.307342301,-0.624765288,-0.82684136,-0.375874475,0.185414054
218,Industrial Engineering Technicians,1.346726866,-0.936983973,-0.373892251,-0.503874531,0.033209409,0.691034876,-0.269626069
219,Mechanical Engineering Technicians,0.80137963,0.531880179,-0.498252862,-1.281105627,0.38765985,0.000326493,0.690842115
220,Automotive Engineering Technicians,0.753319478,-0.551406024,-0.701295722,-0.623091956,-0.051833589,-0.009674397,0.520757871
222,Non-Destructive Testing Specialists,0.565893212,-0.089844381,-0.652931311,-0.718079272,-1.072902552,-0.128109865,0.124195421
223,Electrical Engineering Technologists,0.874767012,-0.418801138,-0.395828926,-0.717638259,0.307371529,0.751925732,-0.010268529
224,Electromechanical Engineering Technologists,0.923890272,-0.655050297,-0.433764795,-0.735708083,-0.143492006,0.833068603,0.336797788
225,Electronics Engineering Technologists,1.355830872,-0.018313143,-0.244370736,-0.907501523,-0.491947865,-0.631230611,1.284374767
226,Industrial Engineering Technologists,0.421529094,0.736890654,-0.370877047,-0.541725692,-0.20817657,-0.072319773,0.301421865
227,Manufacturing Engineering Technologists,1.555584166,0.238608001,-0.659395822,-0.928974438,0.235061562,-0.063448815,0.412513364
228,Mechanical Engineering Technologists,0.929690385,-0.643676318,-0.738342042,-0.397151202,0.332885362,0.501492833,0.657786866
229,Photonics Technicians,0.608245278,-0.729083046,-0.264772668,-1.06787039,0.073095712,-0.781468278,1.020074942
230,Manufacturing Production Technicians,0.61965864,-0.460473252,-0.914788055,-0.433516482,0.287209338,-0.086865428,0.111339196
232,Nanotechnology Engineering Technologists,1.270712891,-0.474232944,-0.277723797,-1.820685351,0.440021315,0.077170995,0.272692704
233,Nanotechnology Engineering Technicians,1.038696847,-1.007975105,-0.239489204,-0.898203795,-0.294145745,-0.421305612,1.297342682
235,Surveying Technicians,0.29667002,-0.162314685,-0.402257905,-0.885848501,-0.466783768,-0.236741069,0.370782431
236,Mapping Technicians,0.304362895,-1.165378007,0.970661686,-1.296957616,-0.285336403,-0.433717469,0.519054723
237,Animal Scientists,1.451087546,0.262579957,-0.302983283,-0.742552987,0.206714709,-0.063235219,-1.630773216
238,Food Scientists and Technologists,1.062530587,0.246561728,-0.262824861,-0.752340954,0.612961156,0.475883772,-0.56950006
239,Soil and Plant Scientists,1.658197069,-0.193936682,-0.124460357,-1.021842089,0.610605776,0.179536174,-0.14547112
240,Biologists,1.369462162,0.383561832,0.09988462,-0.951341903,0.080126495,0.537782999,0.246101111
241,Biochemists and Biophysicists,2.210619192,-0.484172574,-0.218167337,-1.900287758,1.242849607,-0.728805092,0.129148469
242,Microbiologists,1.589738811,-0.295819717,0.020773206,-0.86298387,-0.42832737,-0.060951782,1.004800117
243,Zoologists and Wildlife Biologists,1.045218468,0.584340607,0.118521864,-0.726679976,-0.270932385,0.092602973,-0.190612219
245,Bioinformatics Scientists,1.761015287,-0.113976562,0.869717008,-1.684125862,0.877793102,0.892166403,0.551176234
246,Molecular and Cellular Biologists,2.454275625,-0.554028067,-0.037291026,-1.418315256,0.863029461,-1.023102206,0.643635582
247,Geneticists,1.691198499,0.019936085,0.374508655,-0.382827346,0.678518208,0.09722797,0.661094725
249,Soil and Water Conservationists,0.768251334,1.08721326,-0.236249096,-0.150863278,-0.553558967,-0.590685567,0.0736138
250,Range Managers,0.65923054,1.848967824,-0.293636438,-0.526024832,-0.634398166,-0.145869394,0.076281883
251,Park Naturalists,-0.029061452,-0.695318435,-0.13358485,1.572750553,1.527893363,0.52251747,-0.77298503
252,Foresters,0.885452029,0.938237401,-0.351216711,-0.577488883,-0.576604819,-0.37960191,-0.546451976
253,Epidemiologists,1.835602257,-0.163764105,0.930964622,-0.268837163,-0.290091793,0.433739917,-0.631705196
254,"Medical Scientists, Except Epidemiologists",1.399942936,-0.040016218,0.409650603,-0.258007748,0.486844227,0.89593334,0.586691237
256,Astronomers,1.658348388,-0.55840788,0.822128845,-2.318440785,1.409935798,-0.562915867,-1.453245398
257,Physicists,2.235947931,-0.167806109,0.704321165,-1.32964014,0.617439993,-0.372842507,0.369922539
258,Atmospheric and Space Scientists,1.438854889,-0.549374675,1.037357824,-0.784290653,-0.669857186,-0.047705432,-1.333411329
259,Chemists,1.793699016,-0.817464259,-0.381966601,-0.82960997,-0.461713788,-0.175096951,0.969919481
260,Materials Scientists,1.836074833,-0.181490779,-0.188476545,-1.51940533,0.635195409,-0.182241465,-0.315520669
261,"Environmental Scientists and Specialists, Including Health",1.090782233,-0.124586826,0.522442287,-0.532698984,-0.48152694,0.283032105,-0.173931735
262,Climate Change Analysts,0.814881467,0.378457594,1.349702604,-1.318016036,0.114945759,-0.078920938,-0.755650951
263,Environmental Restoration Planners,0.883246626,0.90387957,0.04941782,-1.305854513,0.218155867,0.031871953,0.143648045
264,Industrial Ecologists,1.263439616,-0.327551537,0.532752359,-0.869006428,0.314789715,0.426541818,-2.030731572
265,"Geoscientists, Except Hydrologists and Geographers",1.689608769,-0.020736419,-0.121233833,-1.609913786,0.35925478,-0.838227129,-0.578787724
266,Hydrologists,1.520550178,-0.023454646,0.183984674,-1.271416366,0.139400514,-0.200148988,-0.215889016
